time,alpha,aTgt,bR,bF,engR,engL,tR_n,tL_n,hR_n,hL_n,nx,ny
158.201,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12014.0,-1.00,0.00
158.235,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12014.6,-1.00,0.00
158.269,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12015.6,-1.00,0.00
158.310,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12017.2,-1.00,0.00
158.349,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12019.1,-1.00,0.00
158.397,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12021.7,-1.00,0.00
158.432,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12023.8,-1.00,0.00
158.464,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12025.8,-1.00,0.00
158.495,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12027.7,-1.00,0.00
158.527,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12029.6,-1.00,0.00
158.559,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12031.3,-1.00,0.00
158.592,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12033.0,-1.00,0.00
158.592,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12033.0,-1.00,0.00
158.617,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12034.2,-1.00,0.00
158.651,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12035.6,-1.00,0.00
158.684,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12036.7,-1.00,0.00
158.718,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12037.6,-1.00,0.00
158.749,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12038.3,-1.00,0.00
158.782,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12038.6,-1.00,0.00
158.814,1.00,1.00,1,0,1.00,0.00,12003.0,12003.0,12003.0,12038.7,-1.00,0.00
