time,alpha,bF,bR,walkMode,sideRotW,palmDotR,palmDotL,fingDotR
432.740,1.00,0,0,3,-1.000,-0.68,-1.00,0.19
432.772,1.00,0,0,3,-1.000,-0.68,-1.00,0.19
432.805,1.00,0,0,3,-1.000,-0.68,-1.00,0.19
432.837,1.00,0,0,3,-1.000,-0.68,-1.00,0.19
432.868,1.00,0,0,3,-1.000,-0.68,-1.00,0.19
432.898,1.00,0,0,3,-1.000,-0.68,-1.00,0.19
432.928,1.00,0,0,3,-1.000,-0.68,-1.00,0.19
432.958,1.00,0,0,3,-1.000,-0.68,-1.00,0.19
432.986,1.00,0,0,3,-1.000,-0.68,-1.00,0.19
433.015,1.00,0,0,3,-1.000,-0.68,-1.00,0.19
433.046,1.00,0,0,3,-1.000,-0.68,-1.00,0.19
433.077,1.00,0,0,3,-1.000,-0.68,-1.00,0.19
433.107,1.00,0,0,3,-1.000,-0.68,-1.00,0.19
433.137,1.00,0,0,3,-1.000,-0.68,-1.00,0.19
433.168,1.00,0,0,3,-1.000,-0.68,-1.00,0.19
433.198,1.00,0,0,3,-1.000,-0.68,-1.00,0.18
433.228,1.00,0,0,3,-1.000,-0.69,-1.00,0.18
433.259,1.00,0,0,3,-1.000,-0.69,-1.00,0.18
433.289,1.00,0,0,3,-1.000,-0.69,-1.00,0.18
433.319,1.00,0,0,3,-1.000,-0.69,-1.00,0.18
433.349,1.00,0,0,3,-1.000,-0.69,-1.00,0.18
433.381,1.00,0,0,3,-1.000,-0.69,-1.00,0.18
433.410,1.00,0,0,3,-1.000,-0.69,-1.00,0.18
433.440,1.00,0,0,3,-1.000,-0.69,-1.00,0.18
433.470,1.00,0,0,3,-1.000,-0.69,-1.00,0.17
433.500,1.00,0,0,3,-1.000,-0.69,-1.00,0.17
433.530,1.00,0,0,3,-1.000,-0.69,-1.00,0.17
433.560,1.00,0,0,3,-1.000,-0.70,-1.00,0.17
433.589,1.00,0,0,3,-1.000,-0.70,-1.00,0.17
433.619,1.00,0,0,3,-1.000,-0.70,-1.00,0.17
433.650,1.00,0,0,3,-1.000,-0.70,-1.00,0.17
433.680,1.00,0,0,3,-1.000,-0.70,-1.00,0.17
433.710,1.00,0,0,3,-1.000,-0.70,-1.00,0.17
433.740,1.00,0,0,3,-1.000,-0.70,-1.00,0.17
433.770,1.00,0,0,3,-1.000,-0.70,-1.00,0.17
433.804,1.00,0,0,3,-1.000,-0.70,-1.00,0.17
433.838,1.00,0,0,3,-1.000,-0.71,-1.00,0.17
433.869,1.00,0,0,3,-1.000,-0.71,-1.00,0.17
433.899,1.00,0,0,3,-1.000,-0.71,-1.00,0.17
433.929,1.00,0,0,3,-1.000,-0.71,-1.00,0.16
433.960,1.00,0,0,3,-1.000,-0.71,-1.00,0.16
433.990,1.00,0,0,3,-1.000,-0.71,-1.00,0.16
434.020,1.00,0,0,3,-1.000,-0.71,-1.00,0.16
434.050,1.00,0,0,3,-1.000,-0.71,-1.00,0.16
434.080,1.00,0,0,3,-1.000,-0.71,-1.00,0.16
434.110,1.00,0,0,3,-1.000,-0.71,-1.00,0.16
434.139,1.00,0,0,3,-1.000,-0.71,-1.00,0.16
434.172,1.00,0,0,3,-1.000,-0.71,-1.00,0.15
434.202,1.00,0,0,3,-1.000,-0.71,-1.00,0.15
434.231,1.00,0,0,3,-1.000,-0.71,-1.00,0.15
434.262,1.00,0,0,3,-1.000,-0.71,-1.00,0.15
434.294,1.00,0,0,3,-1.000,-0.71,-1.00,0.15
434.324,1.00,0,0,3,-1.000,-0.71,-1.00,0.15
434.353,1.00,0,0,3,-1.000,-0.71,-1.00,0.15
434.384,1.00,0,0,3,-1.000,-0.71,-1.00,0.15
434.413,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
434.443,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
434.473,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
434.503,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
434.532,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
434.563,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
434.593,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
434.622,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
434.653,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
434.682,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
434.712,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
434.742,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
434.771,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
434.800,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
434.830,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
434.860,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
434.890,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
434.920,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
434.950,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
434.980,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
435.011,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
435.040,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
435.090,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
435.122,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
435.159,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
435.188,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
435.218,1.00,0,0,3,-1.000,-0.72,-1.00,0.14
435.250,1.00,0,0,3,-1.000,-0.72,-1.00,0.14
435.279,1.00,0,0,3,-1.000,-0.72,-1.00,0.14
435.310,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
435.340,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
435.372,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
435.408,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
435.444,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
435.474,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
435.505,1.00,0,0,3,-1.000,-0.72,-1.00,0.14
435.535,1.00,0,0,3,-1.000,-0.72,-1.00,0.14
435.565,1.00,0,0,3,-1.000,-0.72,-1.00,0.14
435.595,1.00,0,0,3,-1.000,-0.72,-1.00,0.14
435.626,1.00,0,0,3,-1.000,-0.72,-1.00,0.14
435.656,1.00,0,0,3,-1.000,-0.72,-1.00,0.14
435.685,1.00,0,0,3,-1.000,-0.72,-1.00,0.14
435.716,1.00,0,0,3,-1.000,-0.72,-1.00,0.14
435.746,1.00,0,0,3,-1.000,-0.72,-1.00,0.14
435.775,1.00,0,0,3,-1.000,-0.72,-1.00,0.14
435.806,1.00,0,0,3,-1.000,-0.72,-1.00,0.14
435.836,1.00,0,0,3,-1.000,-0.72,-1.00,0.14
435.865,1.00,0,0,3,-1.000,-0.72,-1.00,0.14
435.895,1.00,0,0,3,-1.000,-0.72,-1.00,0.14
435.925,1.00,0,0,3,-1.000,-0.72,-1.00,0.14
435.956,1.00,0,0,3,-1.000,-0.72,-1.00,0.14
435.987,1.00,0,0,3,-1.000,-0.72,-1.00,0.15
436.018,1.00,0,0,3,-1.000,-0.72,-1.00,0.15
436.048,1.00,0,0,3,-1.000,-0.72,-1.00,0.15
436.079,1.00,0,0,3,-1.000,-0.72,-1.00,0.15
436.108,1.00,0,0,3,-1.000,-0.72,-1.00,0.15
436.137,1.00,0,0,3,-1.000,-0.72,-1.00,0.15
436.166,1.00,0,0,3,-1.000,-0.72,-1.00,0.15
436.196,1.00,0,0,3,-1.000,-0.72,-1.00,0.15
436.226,1.00,0,0,3,-1.000,-0.72,-1.00,0.15
436.256,1.00,0,0,3,-1.000,-0.72,-1.00,0.15
436.286,1.00,0,0,3,-1.000,-0.72,-1.00,0.15
436.318,1.00,0,0,3,-1.000,-0.71,-1.00,0.15
436.347,1.00,0,0,3,-1.000,-0.71,-1.00,0.15
436.377,1.00,0,0,3,-1.000,-0.71,-1.00,0.15
436.407,1.00,0,0,3,-1.000,-0.71,-1.00,0.15
436.438,1.00,0,0,3,-1.000,-0.71,-1.00,0.15
436.468,1.00,0,0,3,-1.000,-0.71,-1.00,0.16
436.497,1.00,0,0,3,-1.000,-0.70,-1.00,0.16
436.527,1.00,0,0,3,-1.000,-0.70,-1.00,0.16
436.558,1.00,0,0,3,-1.000,-0.70,-1.00,0.16
