time,alpha,bF,bR,walkMode,sideRotW,handRollX
279.244,1.00,0,0,3,0.500,75.3
279.275,1.00,0,0,3,0.500,75.3
279.307,1.00,0,0,3,0.500,75.4
279.337,1.00,0,0,3,0.500,75.4
279.367,1.00,0,0,3,0.500,75.4
279.394,1.00,0,0,3,0.500,75.4
279.423,1.00,0,0,3,0.500,75.3
279.451,1.00,0,0,3,0.500,75.2
279.481,1.00,0,0,3,0.500,75.1
279.509,1.00,0,0,3,0.500,75.0
279.539,1.00,0,0,3,0.500,74.8
279.569,1.00,0,0,3,0.500,74.6
279.598,1.00,0,0,3,0.500,74.4
279.626,1.00,0,0,3,0.500,74.2
279.654,1.00,0,0,3,0.500,74.0
279.684,1.00,0,0,3,0.500,73.8
279.713,1.00,0,0,3,0.500,73.5
279.741,1.00,0,0,3,0.500,73.2
279.770,1.00,0,0,3,0.500,73.0
279.798,1.00,0,0,3,0.500,72.7
279.827,1.00,0,0,3,0.500,72.5
279.855,1.00,0,0,3,0.500,72.3
279.884,1.00,0,0,3,0.500,72.1
279.912,1.00,0,0,3,0.500,71.9
279.941,1.00,0,0,3,0.500,71.7
279.969,1.00,0,0,3,0.500,71.6
279.998,1.00,0,0,3,0.500,71.4
280.027,1.00,0,0,3,0.500,71.2
280.055,1.00,0,0,3,0.500,71.0
280.086,1.00,0,0,3,0.500,70.8
280.118,1.00,0,0,3,0.500,70.6
280.150,1.00,0,0,3,0.500,70.4
280.180,1.00,0,0,3,0.500,70.3
280.209,1.00,0,0,3,0.500,70.2
280.237,1.00,0,0,3,0.500,70.0
280.270,1.00,0,0,3,0.500,69.9
280.305,1.00,0,0,3,0.500,69.7
280.334,1.00,0,0,3,0.500,69.6
280.362,1.00,0,0,3,0.500,69.4
280.390,1.00,0,0,3,0.500,69.3
280.418,1.00,0,0,3,0.500,69.1
280.446,1.00,0,0,3,0.500,68.9
280.475,1.00,0,0,3,0.500,68.8
280.503,1.00,0,0,3,0.500,68.6
280.531,1.00,0,0,3,0.500,68.3
280.559,1.00,0,0,3,0.500,68.1
280.589,1.00,0,0,3,0.500,67.9
280.616,1.00,0,0,3,0.500,67.6
280.645,1.00,0,0,3,0.500,67.4
280.673,1.00,0,0,3,0.500,67.2
280.702,1.00,0,0,3,0.500,66.9
280.731,1.00,0,0,3,0.500,66.6
280.759,1.00,0,0,3,0.500,66.4
280.787,1.00,0,0,3,0.500,66.1
280.815,1.00,0,0,3,0.500,65.8
280.843,1.00,0,0,3,0.500,65.5
280.872,1.00,0,0,3,0.500,65.2
280.901,1.00,0,0,3,0.500,64.9
280.929,1.00,0,0,3,0.500,64.6
280.957,1.00,0,0,3,0.500,64.4
280.985,1.00,0,0,3,0.500,64.2
281.014,1.00,0,0,3,0.500,64.0
281.043,1.00,0,0,3,0.500,63.8
281.071,1.00,0,0,3,0.500,63.6
281.100,1.00,0,0,3,0.500,63.6
281.129,1.00,0,0,3,0.500,63.5
281.157,1.00,0,0,3,0.500,63.5
281.186,1.00,0,0,3,0.500,63.4
281.215,1.00,0,0,3,0.500,63.4
281.243,1.00,0,0,3,0.500,63.3
281.272,1.00,0,0,3,0.500,63.3
281.300,1.00,0,0,3,0.500,63.2
281.329,1.00,0,0,3,0.500,63.2
281.358,1.00,0,0,3,0.500,63.1
281.385,1.00,0,0,3,0.500,63.1
281.414,1.00,0,0,3,0.500,63.0
281.442,1.00,0,0,3,0.500,62.9
281.472,1.00,0,0,3,0.500,62.9
281.500,1.00,0,0,3,0.500,62.8
281.528,1.00,0,0,3,0.500,62.7
281.559,1.00,0,0,3,0.500,62.6
281.588,1.00,0,0,3,0.500,62.5
281.617,1.00,0,0,3,0.500,62.4
281.645,1.00,0,0,3,0.500,62.3
281.675,1.00,0,0,3,0.500,62.3
281.702,1.00,0,0,3,0.500,62.3
281.731,1.00,0,0,3,0.500,62.4
281.761,1.00,0,0,3,0.500,62.4
281.789,1.00,0,0,3,0.500,62.5
281.817,1.00,0,0,3,0.500,62.6
281.844,1.00,0,0,3,0.500,62.6
281.873,1.00,0,0,3,0.500,62.7
281.902,1.00,0,0,3,0.500,62.8
281.930,1.00,0,0,3,0.500,62.8
281.958,1.00,0,0,3,0.500,62.8
281.986,1.00,0,0,3,0.500,62.8
282.016,1.00,0,0,3,0.500,62.9
282.044,1.00,0,0,3,0.500,63.0
282.072,1.00,0,0,3,0.500,63.0
282.103,1.00,0,0,3,0.500,63.0
282.132,1.00,0,0,3,0.500,63.1
282.159,1.00,0,0,3,0.500,63.1
282.189,1.00,0,0,3,0.500,63.2
282.218,1.00,0,0,3,0.500,63.3
282.246,1.00,0,0,3,0.500,63.4
282.275,1.00,0,0,3,0.500,63.6
282.304,1.00,0,0,3,0.500,63.7
282.332,1.00,0,0,3,0.500,63.9
282.361,1.00,0,0,3,0.500,64.1
282.388,1.00,0,0,3,0.500,64.3
282.416,1.00,0,0,3,0.500,64.5
282.445,1.00,0,0,3,0.500,64.7
282.474,1.00,0,0,3,0.500,65.0
282.501,1.00,0,0,3,0.500,65.3
282.529,1.00,0,0,3,0.500,65.6
282.558,1.00,0,0,3,0.500,65.8
282.586,1.00,0,0,3,0.500,65.9
282.614,1.00,0,0,3,0.500,66.0
282.643,1.00,0,0,3,0.500,66.1
282.673,1.00,0,0,3,0.500,66.1
282.701,1.00,0,0,3,0.500,66.2
282.730,1.00,0,0,3,0.500,66.3
282.759,1.00,0,0,3,0.500,66.4
282.787,1.00,0,0,3,0.500,66.6
282.816,1.00,0,0,3,0.500,66.8
282.844,1.00,0,0,3,0.500,66.9
282.873,1.00,0,0,3,0.500,67.1
282.902,1.00,0,0,3,0.500,67.2
282.930,1.00,0,0,3,0.500,67.3
282.959,1.00,0,0,3,0.500,67.4
282.988,1.00,0,0,3,0.500,67.5
283.017,1.00,0,0,3,0.500,67.6
283.045,1.00,0,0,3,0.500,67.7
283.073,1.00,0,0,3,0.500,67.8
283.104,1.00,0,0,3,0.500,67.9
283.132,1.00,0,0,3,0.500,67.9
283.161,1.00,0,0,3,0.500,68.0
283.189,1.00,0,0,3,0.500,68.0
283.219,1.00,0,0,3,0.500,68.0
283.247,1.00,0,0,3,0.500,68.1
283.276,1.00,0,0,3,0.500,68.2
283.306,1.00,0,0,3,0.500,68.3
283.334,1.00,0,0,3,0.500,68.5
283.362,1.00,0,0,3,0.500,68.7
283.390,1.00,0,0,3,0.500,69.0
283.418,1.00,0,0,3,0.500,69.2
283.446,1.00,0,0,3,0.500,69.6
283.475,1.00,0,0,3,0.500,69.9
283.503,1.00,0,0,3,0.500,70.3
283.531,1.00,0,0,3,0.500,70.7
283.559,1.00,0,0,3,0.500,71.0
283.587,1.00,0,0,3,0.500,71.4
283.616,1.00,0,0,3,0.500,71.7
283.644,1.00,0,0,3,0.500,71.9
283.674,1.00,0,0,3,0.500,72.2
283.702,1.00,0,0,3,0.500,72.3
283.731,1.00,0,0,3,0.500,72.4
283.759,1.00,0,0,3,0.500,72.5
283.787,1.00,0,0,3,0.500,72.5
283.816,1.00,0,0,3,0.500,72.6
283.844,1.00,0,0,3,0.500,72.6
283.873,1.00,0,0,3,0.500,72.7
283.902,1.00,0,0,3,0.500,72.8
283.930,1.00,0,0,3,0.500,72.8
283.958,1.00,0,0,3,0.500,72.8
283.988,1.00,0,0,3,0.500,72.8
284.017,1.00,0,0,3,0.500,72.9
284.048,1.00,0,0,3,0.500,72.9
284.077,1.00,0,0,3,0.500,73.0
284.106,1.00,0,0,3,0.500,73.0
284.135,1.00,0,0,3,0.500,73.1
284.162,1.00,0,0,3,0.500,73.2
284.191,1.00,0,0,3,0.500,73.3
284.220,1.00,0,0,3,0.500,73.5
284.249,1.00,0,0,3,0.500,73.6
284.278,1.00,0,0,3,0.500,73.8
284.306,1.00,0,0,3,0.500,74.0
284.335,1.00,0,0,3,0.500,74.2
284.364,1.00,0,0,3,0.500,74.4
284.393,1.00,0,0,3,0.500,74.6
284.422,1.00,0,0,3,0.500,74.8
284.450,1.00,0,0,3,0.500,75.0
284.478,1.00,0,0,3,0.500,75.2
284.506,1.00,0,0,3,0.500,75.5
284.534,1.00,0,0,3,0.500,75.7
284.562,1.00,0,0,3,0.500,76.0
284.591,1.00,0,0,3,0.500,76.2
284.619,1.00,0,0,3,0.500,76.5
284.647,1.00,0,0,3,0.500,76.7
284.676,1.00,0,0,3,0.500,76.9
284.705,1.00,0,0,3,0.500,77.2
284.733,1.00,0,0,3,0.500,77.4
284.762,1.00,0,0,3,0.500,77.7
284.791,1.00,0,0,3,0.500,78.0
284.819,1.00,0,0,3,0.500,78.2
284.847,1.00,0,0,3,0.500,78.4
284.875,1.00,0,0,3,0.500,78.5
284.903,1.00,0,0,3,0.500,78.7
284.931,1.00,0,0,3,0.500,78.8
284.959,1.00,0,0,3,0.500,78.8
284.987,1.00,0,0,3,0.500,78.9
285.015,1.00,0,0,3,0.500,78.9
285.044,1.00,0,0,3,0.500,78.9
285.072,1.00,0,0,3,0.500,78.8
285.100,1.00,0,0,3,0.500,78.8
285.130,1.00,0,0,3,0.500,78.8
285.159,1.00,0,0,3,0.500,78.8
285.193,1.00,0,0,3,0.500,78.6
285.225,1.00,0,0,3,0.500,78.3
