time,turnAngle,speed2d,alpha,alphaTarget,bRight,actorYaw,smState
183.886,0.0,0.0,1.000,1.000,1,-90.2,0
183.915,0.0,0.0,1.000,1.000,1,-90.2,0
183.944,0.0,0.0,1.000,1.000,1,-90.2,0
183.975,0.0,0.0,1.000,1.000,1,-90.2,0
184.013,0.0,0.0,1.000,1.000,1,-90.2,0
184.042,0.0,0.0,1.000,1.000,1,-90.2,0
184.071,0.0,0.0,1.000,1.000,1,-90.2,0
184.100,0.0,0.0,1.000,1.000,1,-90.2,0
184.129,0.0,0.0,1.000,1.000,1,-90.2,0
184.156,0.0,0.0,1.000,1.000,1,-90.2,0
184.184,0.0,0.0,1.000,1.000,1,-90.2,0
184.211,0.0,0.0,1.000,1.000,1,-90.2,0
184.240,0.0,0.0,1.000,1.000,1,-90.2,0
184.267,0.0,0.0,1.000,1.000,1,-90.2,0
184.295,0.0,0.0,1.000,1.000,1,-90.2,0
184.324,0.0,0.0,1.000,1.000,1,-90.2,0
184.352,0.0,0.0,1.000,1.000,1,-90.2,0
184.381,0.0,0.0,1.000,1.000,1,-90.2,0
184.409,0.0,0.0,1.000,1.000,1,-90.2,0
184.438,0.0,0.0,1.000,1.000,1,-90.2,0
184.467,0.0,0.0,1.000,1.000,1,-90.2,0
184.495,0.0,0.0,1.000,1.000,1,-90.2,0
184.523,0.0,0.0,1.000,1.000,1,-90.2,0
184.551,0.0,0.0,1.000,1.000,1,-90.2,0
184.579,0.0,0.0,1.000,1.000,1,-90.2,0
184.607,0.0,0.0,1.000,1.000,1,-90.2,0
184.635,0.0,0.0,1.000,1.000,1,-90.2,0
184.663,0.0,0.0,1.000,1.000,1,-90.2,0
184.692,0.0,0.0,1.000,1.000,1,-90.2,0
184.719,0.0,0.0,1.000,1.000,1,-90.2,0
184.747,0.0,0.0,1.000,1.000,1,-90.2,0
184.775,0.0,0.0,1.000,1.000,1,-90.2,0
184.803,0.0,0.0,1.000,1.000,1,-90.2,0
184.831,0.0,0.0,1.000,1.000,1,-90.2,0
184.858,0.0,0.0,1.000,1.000,1,-90.2,0
184.886,0.0,0.0,1.000,1.000,1,-90.2,0
184.914,0.0,0.0,1.000,1.000,1,-90.2,0
184.941,0.0,0.0,1.000,1.000,1,-90.2,0
184.969,0.0,0.0,1.000,1.000,1,-90.2,0
184.996,0.0,0.0,1.000,1.000,1,-90.2,0
185.024,0.0,0.0,1.000,1.000,1,-90.2,0
185.052,0.0,0.0,1.000,1.000,1,-90.2,0
185.080,0.0,0.0,1.000,1.000,1,-90.2,0
185.109,0.0,0.0,1.000,1.000,1,-90.2,0
185.137,0.0,0.0,1.000,1.000,1,-90.2,0
185.167,0.0,0.0,1.000,1.000,1,-90.2,0
185.195,0.0,0.0,1.000,1.000,1,-90.2,0
185.224,0.0,0.0,1.000,1.000,1,-90.2,0
185.252,0.0,0.0,1.000,1.000,1,-90.2,0
