time,turnAngle,speed2d,alpha,alphaTarget,bRight,actorYaw,smState,futSpd,futDot,blockT
437.360,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
437.393,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
437.425,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
437.456,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
437.486,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
437.517,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
437.547,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
437.576,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
437.611,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
437.650,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
437.682,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
437.714,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
437.745,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
437.775,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
437.807,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
437.838,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
437.869,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
437.899,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
437.929,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
437.959,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
437.990,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
438.019,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
438.049,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
438.079,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
438.111,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
438.141,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
438.172,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
438.202,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
438.232,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
438.261,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
438.292,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
438.322,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
438.351,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
438.381,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
438.412,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
438.441,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
438.470,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
438.500,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
438.531,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
438.560,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
438.590,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
438.620,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
438.649,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
438.680,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
438.711,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
438.742,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
438.771,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
438.801,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
438.831,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
438.862,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
438.895,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
438.924,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
438.954,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
438.984,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
439.014,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
439.044,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
439.073,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
439.104,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
439.134,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
439.163,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
439.195,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
439.226,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
439.258,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
439.288,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
439.318,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
439.348,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
439.377,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
439.408,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
439.438,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
439.473,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
439.507,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
439.537,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
439.568,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
439.597,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
439.628,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
439.658,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
439.688,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
439.719,0.0,0.0,1.000,1.000,0,86.3,0,0,0.00,0.00
